# λ	f(λ)
-53.7069802933065	-23.885607135785
-53.6969802933065	-23.8544706275228
-53.6869802933065	-23.8233135514843
-53.6769802933065	-23.7921358762077
-53.6669802933065	-23.760937570166
-53.6569802933065	-23.729718601767
-53.6469802933065	-23.6984789393526
-53.6369802933065	-23.6672185511989
-53.6269802933065	-23.6359374055163
-53.6169802933065	-23.6046354704489
-53.6069802933065	-23.5733127140745
-53.5969802933065	-23.5419691044044
-53.5869802933065	-23.5106046093835
-53.5769802933065	-23.4792191968896
-53.5669802933065	-23.4478128347335
-53.5569802933065	-23.4163854906591
-53.5469802933065	-23.3849371323426
-53.5369802933065	-23.3534677273931
-53.5269802933065	-23.3219772433514
-53.5169802933065	-23.2904656476911
-53.5069802933065	-23.2589329078173
-53.4969802933065	-23.2273789910669
-53.4869802933066	-23.1958038647085
-53.4769802933066	-23.1642074959421
-53.4669802933066	-23.1325898518988
-53.4569802933066	-23.1009508996409
-53.4469802933066	-23.0692906061614
-53.4369802933066	-23.0376089383841
-53.4269802933066	-23.0059058631632
-53.4169802933066	-22.9741813472833
-53.4069802933066	-22.942435357459
-53.3969802933066	-22.910667860335
-53.3869802933066	-22.8788788224856
-53.3769802933066	-22.8470682104147
-53.3669802933066	-22.8152359905557
-53.3569802933066	-22.783382129271
-53.3469802933066	-22.7515065928523
-53.3369802933066	-22.7196093475197
-53.3269802933066	-22.6876903594222
-53.3169802933066	-22.6557495946373
-53.3069802933066	-22.6237870191705
-53.2969802933066	-22.5918025989557
-53.2869802933066	-22.5597962998542
-53.2769802933066	-22.5277680876554
-53.2669802933066	-22.4957179280761
-53.2569802933066	-22.46364578676
-53.2469802933066	-22.4315516292785
-53.2369802933066	-22.3994354211294
-53.2269802933066	-22.3672971277374
-53.2169802933066	-22.3351367144539
-53.2069802933066	-22.3029541465561
-53.1969802933066	-22.2707493892479
-53.1869802933066	-22.2385224076588
-53.1769802933066	-22.2062731668439
-53.1669802933066	-22.1740016317841
-53.1569802933066	-22.1417077673855
-53.1469802933066	-22.1093915384793
-53.1369802933066	-22.0770529098216
-53.1269802933066	-22.0446918460932
-53.1169802933066	-22.0123083118996
-53.1069802933066	-21.9799022717704
-53.0969802933066	-21.9474736901594
-53.0869802933066	-21.9150225314443
-53.0769802933066	-21.8825487599264
-53.0669802933066	-21.8500523398306
-53.0569802933066	-21.8175332353052
-53.0469802933066	-21.7849914104212
-53.0369802933066	-21.7524268291729
-53.0269802933066	-21.719839455477
-53.0169802933066	-21.6872292531728
-53.0069802933066	-21.6545961860216
-52.9969802933066	-21.621940217707
-52.9869802933067	-21.5892613118345
-52.9769802933067	-21.5565594319308
-52.9669802933067	-21.5238345414443
-52.9569802933067	-21.4910866037446
-52.9469802933067	-21.4583155821222
-52.9369802933067	-21.4255214397884
-52.9269802933067	-21.3927041398749
-52.9169802933067	-21.3598636454338
-52.9069802933067	-21.3269999194375
-52.8969802933067	-21.294112924778
-52.8869802933067	-21.2612026242672
-52.8769802933067	-21.2282689806364
-52.8669802933067	-21.195311956536
-52.8569802933067	-21.1623315145356
-52.8469802933067	-21.1293276171235
-52.8369802933067	-21.0963002267066
-52.8269802933067	-21.0632493056102
-52.8169802933067	-21.0301748160776
-52.8069802933067	-20.9970767202702
-52.7969802933067	-20.9639549802668
-52.7869802933067	-20.930809558064
-52.7769802933067	-20.8976404155754
-52.7669802933067	-20.8644475146316
-52.7569802933067	-20.8312308169802
-52.7469802933067	-20.797990284285
-52.7369802933067	-20.7647258781264
-52.7269802933067	-20.7314375600008
-52.7169802933067	-20.6981252913205
-52.7069802933067	-20.6647890334133
